"axial-force-rfile"
"Iteration" "axial-force"
("Iteration" "axial-force")
1 -0.01423168290876288
2 -0.01927279267958327
3 -0.01670735158662021
4 -0.01997526043107397
5 -0.02319668218575852
6 -0.02677462049604589
7 -0.03120076579439538
8 -0.03686675525071926
9 -0.04354313779541978
10 -0.05135009688507364
11 -0.06035238336118431
12 -0.07079682267579598
13 -0.08210532934336606
14 -0.0939528940521176
15 -0.1062644899620503
16 -0.1187201820377043
17 -0.1310087156475215
18 -0.1429384264596678
19 -0.1542296962805385
20 -0.1646791733924497
21 -0.1740827776376213
22 -0.1821470265313725
23 -0.1886809338898703
24 -0.1934636776082334
25 -0.1962450138017263
26 -0.1968773736442225
27 -0.1952289113605256
28 -0.1913408304175696
29 -0.1852651501957286
30 -0.1771739347383803
31 -0.1673246500402428
32 -0.1559672518078074
33 -0.1433605663722072
34 -0.1297506361885407
35 -0.1155216723147662
36 -0.1010990408031764
37 -0.08679317258016088
38 -0.07297925154785843
39 -0.06001948406143841
40 -0.04824204157796774
41 -0.03786877644956965
42 -0.02909965732842728
43 -0.0220165049010585
44 -0.01667632344909372
45 -0.013043761619368
46 -0.01099338906796775
47 -0.01035783805586364
48 -0.01091870593263289
49 -0.01245781553573374
50 -0.01476439509174623
51 -0.01765443736135518
52 -0.02095527872389458
53 -0.02452706691531613
54 -0.02825271149873042
55 -0.0320324620246489
56 -0.03579515644055156
57 -0.03947484250122928
58 -0.04302212874983261
59 -0.04639487374642861
60 -0.04956534365104994
61 -0.05251315362979417
62 -0.05521778800320058
63 -0.05766477486035947
64 -0.05984678636462798
65 -0.06176517295556003
66 -0.06341057870952503
67 -0.06477750850427046
68 -0.06587419164796469
69 -0.06671238898499871
70 -0.0673047222290155
71 -0.06766529683602247
72 -0.06780822496240684
