"report-def-0-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 0.01140503595869953
2 0.01249892045602326
3 0.00624501582668483
4 -0.006540676787509686
5 -0.02136460351745263
6 -0.0337687948537603
7 -0.04561217291089557
8 -0.05763952925708093
9 -0.07010943581041178
10 -0.08355504776349655
11 -0.09771602583075155
12 -0.1123809016206757
13 -0.1269517051150955
14 -0.1412613457722638
15 -0.1554026772357334
16 -0.1694747726089132
17 -0.1833306153977084
18 -0.1968445607079382
19 -0.2097025757713312
20 -0.2215744141824632
21 -0.2321358616831455
22 -0.2409673615552498
23 -0.2478530722174659
24 -0.2524899682854769
25 -0.254619781089641
26 -0.2541232688237365
27 -0.2508795614739612
28 -0.2450856794164961
29 -0.2369670141973186
30 -0.2268466738375839
31 -0.2150337636940421
32 -0.2018361044578208
33 -0.1875779607049614
34 -0.1725924760548583
35 -0.1572233492823608
36 -0.1418430205294767
37 -0.1267731665740096
38 -0.1124109674432315
39 -0.09908463079703116
40 -0.08704931195856935
41 -0.07650010517591418
42 -0.06760060264822577
43 -0.06042080230643516
44 -0.05495038506594633
45 -0.05106395245854371
46 -0.04858820993475126
47 -0.04732285449703656
48 -0.04706380360553039
49 -0.04759593601468248
50 -0.04873183381743167
51 -0.05032014732832717
52 -0.05222625853012064
53 -0.05434375115348104
54 -0.05658701022922082
55 -0.05889409313965504
56 -0.06121799540005265
57 -0.06351721526719029
58 -0.06575804898069722
59 -0.06791237890202537
60 -0.06995470151627678
61 -0.07186147167841074
62 -0.07361543086260131
63 -0.07520289831641395
64 -0.07661286067121058
65 -0.07783838651602888
66 -0.07887552197420117
67 -0.07971713982031343
68 -0.080367268052234
69 -0.08083171761742619
70 -0.0811203287822166
71 -0.08124507050379981
72 -0.0812173295515328
