axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
pitch,up,0.00,2.00,2.00,4294967295
pitch,up,0.00,4.00,4.00,99
pitch,up,0.00,6.00,6.00,31
pitch,up,0.00,8.00,8.00,85
pitch,up,0.00,10.00,10.00,29
pitch,up,0.00,12.00,12.00,111
pitch,up,0.00,14.00,14.00,29
pitch,up,0.00,16.00,16.00,113
pitch,up,0.00,18.00,18.00,15
pitch,up,0.00,20.00,20.00,112
pitch,down,0.00,-2.00,-2.00,30
pitch,down,0.00,-4.00,-4.00,17
pitch,down,0.00,-6.00,-6.00,73
pitch,down,0.00,-8.00,-8.00,30
pitch,down,0.00,-10.00,-10.00,70
pitch,down,0.00,-12.00,-12.00,15
pitch,down,0.00,-14.00,-14.00,98
pitch,down,0.00,-16.00,-16.00,30
pitch,down,0.00,-18.00,-18.00,98
pitch,down,0.00,-20.00,-20.00,16
pitch,up,5.00,7.00,2.00,57
pitch,up,5.00,9.00,4.00,83
pitch,up,5.00,11.00,6.00,30
pitch,up,5.00,13.00,8.00,100
pitch,up,5.00,15.00,10.00,30
pitch,up,5.00,17.00,12.00,98
pitch,up,5.00,19.00,14.00,30
pitch,up,5.00,21.00,16.00,111
pitch,down,5.00,3.00,-2.00,30
pitch,down,5.00,1.00,-4.00,30
pitch,down,5.00,-1.00,-6.00,85
pitch,down,5.00,-3.00,-8.00,30
pitch,down,5.00,-5.00,-10.00,83
pitch,down,5.00,-7.00,-12.00,30
pitch,down,5.00,-9.00,-14.00,81
pitch,down,5.00,-11.00,-16.00,30
pitch,down,5.00,-13.00,-18.00,95
pitch,down,5.00,-15.00,-20.00,16
pitch,up,10.00,12.00,2.00,29
pitch,up,10.00,14.00,4.00,85
pitch,up,10.00,16.00,6.00,29
pitch,up,10.00,18.00,8.00,95
pitch,up,10.00,20.00,10.00,15
pitch,up,10.00,22.00,12.00,98
pitch,down,10.00,8.00,-2.00,30
pitch,down,10.00,6.00,-4.00,30
pitch,down,10.00,4.00,-6.00,81
pitch,down,10.00,2.00,-8.00,29
pitch,down,10.00,0.00,-10.00,84
pitch,down,10.00,-2.00,-12.00,17
pitch,down,10.00,-4.00,-14.00,94
pitch,down,10.00,-6.00,-16.00,17
pitch,down,10.00,-8.00,-18.00,96
pitch,down,10.00,-10.00,-20.00,28
pitch,up,15.00,17.00,2.00,57
pitch,up,15.00,19.00,4.00,86
pitch,up,15.00,21.00,6.00,29
pitch,down,15.00,13.00,-2.00,4294967295
pitch,down,15.00,11.00,-4.00,4294967295
pitch,down,15.00,9.00,-6.00,4294967295
pitch,down,15.00,7.00,-8.00,4294967295
pitch,down,15.00,5.00,-10.00,29
pitch,down,15.00,3.00,-12.00,85
pitch,down,15.00,1.00,-14.00,17
pitch,down,15.00,-1.00,-16.00,98
pitch,down,15.00,-3.00,-18.00,17
pitch,down,15.00,-5.00,-20.00,85
pitch,up,-5.00,-3.00,2.00,97
pitch,up,-5.00,-1.00,4.00,86
pitch,up,-5.00,1.00,6.00,29
pitch,up,-5.00,3.00,8.00,98
pitch,up,-5.00,5.00,10.00,29
pitch,up,-5.00,7.00,12.00,99
pitch,up,-5.00,9.00,14.00,30
pitch,up,-5.00,11.00,16.00,98
pitch,up,-5.00,13.00,18.00,30
pitch,up,-5.00,15.00,20.00,122
pitch,down,-5.00,-7.00,-2.00,30
pitch,down,-5.00,-9.00,-4.00,83
pitch,down,-5.00,-11.00,-6.00,4294967295
pitch,down,-5.00,-13.00,-8.00,30
pitch,down,-5.00,-15.00,-10.00,70
pitch,down,-5.00,-17.00,-12.00,17
pitch,down,-5.00,-19.00,-14.00,87
pitch,down,-5.00,-21.00,-16.00,29
pitch,up,-10.00,-8.00,2.00,4294967295
pitch,up,-10.00,-6.00,4.00,102
pitch,up,-10.00,-4.00,6.00,29
pitch,up,-10.00,-2.00,8.00,97
pitch,up,-10.00,0.00,10.00,30
pitch,up,-10.00,2.00,12.00,97
pitch,up,-10.00,4.00,14.00,29
pitch,up,-10.00,6.00,16.00,113
pitch,up,-10.00,8.00,18.00,29
pitch,up,-10.00,10.00,20.00,114
pitch,down,-10.00,-12.00,-2.00,30
pitch,down,-10.00,-14.00,-4.00,86
pitch,down,-10.00,-16.00,-6.00,111
pitch,down,-10.00,-18.00,-8.00,29
pitch,down,-10.00,-20.00,-10.00,70
pitch,down,-10.00,-22.00,-12.00,29
pitch,up,-15.00,-13.00,2.00,4294967295
pitch,up,-15.00,-11.00,4.00,85
pitch,up,-15.00,-9.00,6.00,29
pitch,up,-15.00,-7.00,8.00,97
pitch,up,-15.00,-5.00,10.00,29
pitch,up,-15.00,-3.00,12.00,113
pitch,up,-15.00,-1.00,14.00,29
pitch,up,-15.00,1.00,16.00,110
pitch,up,-15.00,3.00,18.00,30
pitch,up,-15.00,5.00,20.00,111
pitch,down,-15.00,-17.00,-2.00,29
pitch,down,-15.00,-19.00,-4.00,30
pitch,down,-15.00,-21.00,-6.00,83
