axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
yaw,up,0.00,2.00,2.00,4294967295
yaw,up,0.00,4.00,4.00,96
yaw,up,0.00,6.00,6.00,30
yaw,up,0.00,8.00,8.00,84
yaw,up,0.00,10.00,10.00,30
yaw,up,0.00,12.00,12.00,124
yaw,up,0.00,14.00,14.00,29
yaw,up,0.00,16.00,16.00,111
yaw,up,0.00,18.00,18.00,29
yaw,up,0.00,20.00,20.00,115
yaw,down,0.00,-2.00,-2.00,30
yaw,down,0.00,-4.00,-4.00,84
yaw,down,0.00,-6.00,-6.00,4294967295
yaw,down,0.00,-8.00,-8.00,29
yaw,down,0.00,-10.00,-10.00,86
yaw,down,0.00,-12.00,-12.00,15
yaw,down,0.00,-14.00,-14.00,98
yaw,down,0.00,-16.00,-16.00,30
yaw,down,0.00,-18.00,-18.00,96
yaw,down,0.00,-20.00,-20.00,29
yaw,up,5.00,7.00,2.00,84
yaw,up,5.00,9.00,4.00,98
yaw,up,5.00,11.00,6.00,30
yaw,up,5.00,13.00,8.00,124
yaw,up,5.00,15.00,10.00,30
yaw,up,5.00,17.00,12.00,110
yaw,up,5.00,19.00,14.00,30
yaw,up,5.00,21.00,16.00,110
yaw,down,5.00,3.00,-2.00,30
yaw,down,5.00,1.00,-4.00,84
yaw,down,5.00,-1.00,-6.00,4294967295
yaw,down,5.00,-3.00,-8.00,30
yaw,down,5.00,-5.00,-10.00,73
yaw,down,5.00,-7.00,-12.00,16
yaw,down,5.00,-9.00,-14.00,73
yaw,down,5.00,-11.00,-16.00,17
yaw,down,5.00,-13.00,-18.00,99
yaw,down,5.00,-15.00,-20.00,30
yaw,up,10.00,12.00,2.00,70
yaw,up,10.00,14.00,4.00,4294967295
yaw,up,10.00,16.00,6.00,4294967295
yaw,up,10.00,18.00,8.00,4294967295
yaw,up,10.00,20.00,10.00,30
yaw,up,10.00,22.00,12.00,203
yaw,down,10.00,8.00,-2.00,30
yaw,down,10.00,6.00,-4.00,4294967295
yaw,down,10.00,4.00,-6.00,4294967295
yaw,down,10.00,2.00,-8.00,29
yaw,down,10.00,0.00,-10.00,15
yaw,down,10.00,-2.00,-12.00,97
yaw,down,10.00,-4.00,-14.00,29
yaw,down,10.00,-6.00,-16.00,97
yaw,down,10.00,-8.00,-18.00,16
yaw,down,10.00,-10.00,-20.00,97
yaw,up,15.00,17.00,2.00,98
yaw,up,15.00,19.00,4.00,4294967295
yaw,up,15.00,21.00,6.00,4294967295
yaw,down,15.00,13.00,-2.00,29
yaw,down,15.00,11.00,-4.00,4294967295
yaw,down,15.00,9.00,-6.00,4294967295
yaw,down,15.00,7.00,-8.00,4294967295
yaw,down,15.00,5.00,-10.00,97
yaw,down,15.00,3.00,-12.00,29
yaw,down,15.00,1.00,-14.00,71
yaw,down,15.00,-1.00,-16.00,15
yaw,down,15.00,-3.00,-18.00,98
yaw,down,15.00,-5.00,-20.00,28
yaw,up,-5.00,-3.00,2.00,30
yaw,up,-5.00,-1.00,4.00,98
yaw,up,-5.00,1.00,6.00,30
yaw,up,-5.00,3.00,8.00,113
yaw,up,-5.00,5.00,10.00,29
yaw,up,-5.00,7.00,12.00,112
yaw,up,-5.00,9.00,14.00,30
yaw,up,-5.00,11.00,16.00,113
yaw,up,-5.00,13.00,18.00,29
yaw,up,-5.00,15.00,20.00,123
yaw,down,-5.00,-7.00,-2.00,30
yaw,down,-5.00,-9.00,-4.00,84
yaw,down,-5.00,-11.00,-6.00,826
yaw,down,-5.00,-13.00,-8.00,29
yaw,down,-5.00,-15.00,-10.00,84
yaw,down,-5.00,-17.00,-12.00,30
yaw,down,-5.00,-19.00,-14.00,71
yaw,down,-5.00,-21.00,-16.00,17
yaw,up,-10.00,-8.00,2.00,30
yaw,up,-10.00,-6.00,4.00,611
yaw,up,-10.00,-4.00,6.00,408
yaw,up,-10.00,-2.00,8.00,29
yaw,up,-10.00,0.00,10.00,111
yaw,up,-10.00,2.00,12.00,30
yaw,up,-10.00,4.00,14.00,110
yaw,up,-10.00,6.00,16.00,29
yaw,up,-10.00,8.00,18.00,111
yaw,up,-10.00,10.00,20.00,28
yaw,down,-10.00,-12.00,-2.00,4294967295
yaw,down,-10.00,-14.00,-4.00,4294967295
yaw,down,-10.00,-16.00,-6.00,4294967295
yaw,down,-10.00,-18.00,-8.00,4294967295
yaw,down,-10.00,-20.00,-10.00,30
yaw,down,-10.00,-22.00,-12.00,82
yaw,up,-15.00,-13.00,2.00,4294967295
yaw,up,-15.00,-11.00,4.00,4294967295
yaw,up,-15.00,-9.00,6.00,531
yaw,up,-15.00,-7.00,8.00,30
yaw,up,-15.00,-5.00,10.00,110
yaw,up,-15.00,-3.00,12.00,30
yaw,up,-15.00,-1.00,14.00,112
yaw,up,-15.00,1.00,16.00,30
yaw,up,-15.00,3.00,18.00,123
yaw,up,-15.00,5.00,20.00,30
yaw,down,-15.00,-17.00,-2.00,4294967295
yaw,down,-15.00,-19.00,-4.00,4294967295
yaw,down,-15.00,-21.00,-6.00,4294967295
