axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
yaw,up,0.00,2.00,2.00,65.00
yaw,up,0.00,4.00,4.00,60.00
yaw,up,0.00,6.00,6.00,62.00
yaw,up,0.00,8.00,8.00,61.00
yaw,up,0.00,10.00,10.00,60.00
yaw,up,0.00,12.00,12.00,60.00
yaw,up,0.00,14.00,14.00,86.00
yaw,up,0.00,16.00,16.00,62.00
yaw,up,0.00,18.00,18.00,88.00
yaw,up,0.00,20.00,20.00,64.00
yaw,down,0.00,-2.00,-2.00,61.00
yaw,down,0.00,-4.00,-4.00,62.00
yaw,down,0.00,-6.00,-6.00,73.00
yaw,down,0.00,-8.00,-8.00,61.00
yaw,down,0.00,-10.00,-10.00,77.00
yaw,down,0.00,-12.00,-12.00,62.00
yaw,down,0.00,-14.00,-14.00,63.00
yaw,down,0.00,-16.00,-16.00,61.00
yaw,down,0.00,-18.00,-18.00,62.00
yaw,down,0.00,-20.00,-20.00,99.00
yaw,up,5.00,7.00,2.00,64.00
yaw,up,5.00,9.00,4.00,62.00
yaw,up,5.00,11.00,6.00,62.00
yaw,up,5.00,13.00,8.00,61.00
yaw,up,5.00,15.00,10.00,62.00
yaw,up,5.00,17.00,12.00,77.00
yaw,up,5.00,19.00,14.00,62.00
yaw,up,5.00,21.00,16.00,98.00
yaw,down,5.00,3.00,-2.00,64.00
yaw,down,5.00,1.00,-4.00,67.00
yaw,down,5.00,-1.00,-6.00,62.00
yaw,down,5.00,-3.00,-8.00,61.00
yaw,down,5.00,-5.00,-10.00,61.00
yaw,down,5.00,-7.00,-12.00,77.00
yaw,down,5.00,-9.00,-14.00,61.00
yaw,down,5.00,-11.00,-16.00,82.00
yaw,down,5.00,-13.00,-18.00,62.00
yaw,down,5.00,-15.00,-20.00,62.00
yaw,up,10.00,12.00,2.00,62.00
yaw,up,10.00,14.00,4.00,77.00
yaw,up,10.00,16.00,6.00,79.00
yaw,up,10.00,18.00,8.00,64.00
yaw,up,10.00,20.00,10.00,72.00
yaw,up,10.00,22.00,12.00,65.00
yaw,down,10.00,8.00,-2.00,62.00
yaw,down,10.00,6.00,-4.00,62.00
yaw,down,10.00,4.00,-6.00,61.00
yaw,down,10.00,2.00,-8.00,62.00
yaw,down,10.00,0.00,-10.00,62.00
yaw,down,10.00,-2.00,-12.00,63.00
yaw,down,10.00,-4.00,-14.00,62.00
yaw,down,10.00,-6.00,-16.00,62.00
yaw,down,10.00,-8.00,-18.00,62.00
yaw,down,10.00,-10.00,-20.00,61.00
yaw,up,15.00,17.00,2.00,62.00
yaw,up,15.00,19.00,4.00,77.00
yaw,up,15.00,21.00,6.00,80.00
yaw,down,15.00,13.00,-2.00,62.00
yaw,down,15.00,11.00,-4.00,61.00
yaw,down,15.00,9.00,-6.00,62.00
yaw,down,15.00,7.00,-8.00,62.00
yaw,down,15.00,5.00,-10.00,61.00
